Generation:	1520	Best fitness:	139.87074829931973	Average fitness:	284.1421768707483	Fitness standard deviation:	49.35469334422048	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1536	Best fitness:	139.87074829931973	Average fitness:	283.63789115646256	Fitness standard deviation:	54.5503858270274	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1552	Best fitness:	139.87074829931973	Average fitness:	267.43217687074826	Fitness standard deviation:	50.49934109491339	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1568	Best fitness:	139.87074829931973	Average fitness:	285.95789115646255	Fitness standard deviation:	57.37231179954743	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1584	Best fitness:	139.87074829931973	Average fitness:	290.92217687074833	Fitness standard deviation:	50.573983470571434	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1600	Best fitness:	139.87074829931973	Average fitness:	285.17503401360545	Fitness standard deviation:	48.0315204966956	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1616	Best fitness:	139.87074829931973	Average fitness:	300.226462585034	Fitness standard deviation:	53.04866497002579	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1632	Best fitness:	139.87074829931973	Average fitness:	289.67360544217684	Fitness standard deviation:	66.56735971624408	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1648	Best fitness:	139.87074829931973	Average fitness:	295.0950340136054	Fitness standard deviation:	60.705498036312456	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1664	Best fitness:	139.87074829931973	Average fitness:	300.23074829931977	Fitness standard deviation:	55.196833981965426	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1680	Best fitness:	139.87074829931973	Average fitness:	279.926462585034	Fitness standard deviation:	54.36320595057368	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1696	Best fitness:	139.87074829931973	Average fitness:	266.22789115646253	Fitness standard deviation:	47.931721420864356	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
Generation:	1712	Best fitness:	139.87074829931973	Average fitness:	283.9836054421769	Fitness standard deviation:	46.06191350248277	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	A9	A11	A15	A17	A13	N9	
