Generation:	1488	Best fitness:	142.4421768707483	Average fitness:	320.6444625850339	Fitness standard deviation:	48.14833096138792	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1504	Best fitness:	142.4421768707483	Average fitness:	320.17417687074834	Fitness standard deviation:	44.15053465920743	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1520	Best fitness:	142.4421768707483	Average fitness:	321.832462585034	Fitness standard deviation:	49.46612268399207	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1536	Best fitness:	142.4421768707483	Average fitness:	318.664462585034	Fitness standard deviation:	50.17195485893835	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1552	Best fitness:	142.4421768707483	Average fitness:	313.53874829931965	Fitness standard deviation:	45.23311732050547	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1568	Best fitness:	142.4421768707483	Average fitness:	327.3576054421769	Fitness standard deviation:	43.04268141256622	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1584	Best fitness:	142.4421768707483	Average fitness:	313.57360544217687	Fitness standard deviation:	50.56306565234415	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1600	Best fitness:	142.4421768707483	Average fitness:	321.08389115646264	Fitness standard deviation:	42.78000685424184	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1616	Best fitness:	142.4421768707483	Average fitness:	320.43303401360555	Fitness standard deviation:	47.21543208117707	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1632	Best fitness:	142.4421768707483	Average fitness:	320.30560544217695	Fitness standard deviation:	46.654871186058955	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1648	Best fitness:	142.4421768707483	Average fitness:	320.0736054421769	Fitness standard deviation:	55.38203296656962	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1664	Best fitness:	142.4421768707483	Average fitness:	323.3347482993197	Fitness standard deviation:	43.611557561953596	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1680	Best fitness:	142.4421768707483	Average fitness:	317.0233197278913	Fitness standard deviation:	53.32065789817186	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1696	Best fitness:	142.4421768707483	Average fitness:	315.9867482993198	Fitness standard deviation:	42.85380650251622	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1712	Best fitness:	142.4421768707483	Average fitness:	324.9530340136055	Fitness standard deviation:	44.71733066400862	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1728	Best fitness:	142.4421768707483	Average fitness:	314.3844625850341	Fitness standard deviation:	52.184128790587785	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1744	Best fitness:	142.4421768707483	Average fitness:	331.0696054421769	Fitness standard deviation:	49.85607660259762	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
Generation:	1760	Best fitness:	142.4421768707483	Average fitness:	328.4153197278912	Fitness standard deviation:	57.15151060477897	Best genome:	A9	N6	N7	A15	A12	N9	A13	N3	E4	N5	A11	N12	E3	A6	A14	A17	A10	A7	A16	E5	A8	
