Generation:	1264	Best fitness:	132.69931972789115	Average fitness:	267.36931972789114	Fitness standard deviation:	71.808934396659	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1280	Best fitness:	132.69931972789115	Average fitness:	273.44074829931975	Fitness standard deviation:	54.34151829130358	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1296	Best fitness:	132.69931972789115	Average fitness:	256.2650340136054	Fitness standard deviation:	46.366712725613745	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1312	Best fitness:	132.69931972789115	Average fitness:	281.62074829931964	Fitness standard deviation:	70.74040491653341	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1328	Best fitness:	132.69931972789115	Average fitness:	279.91074829931966	Fitness standard deviation:	56.29219571094366	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1344	Best fitness:	132.69931972789115	Average fitness:	263.0864625850339	Fitness standard deviation:	54.10423535799641	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1360	Best fitness:	132.69931972789115	Average fitness:	275.87217687074826	Fitness standard deviation:	54.87763119999303	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1376	Best fitness:	132.69931972789115	Average fitness:	271.17931972789114	Fitness standard deviation:	48.94671788625601	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1392	Best fitness:	132.69931972789115	Average fitness:	263.916462585034	Fitness standard deviation:	58.55275061072395	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1408	Best fitness:	132.69931972789115	Average fitness:	266.67217687074833	Fitness standard deviation:	52.94376413917403	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1424	Best fitness:	132.69931972789115	Average fitness:	287.1393197278911	Fitness standard deviation:	50.861071597850085	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1440	Best fitness:	132.69931972789115	Average fitness:	257.24931972789113	Fitness standard deviation:	63.93498156210682	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1456	Best fitness:	132.69931972789115	Average fitness:	273.48360544217684	Fitness standard deviation:	61.89711244130399	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1472	Best fitness:	132.69931972789115	Average fitness:	273.116462585034	Fitness standard deviation:	56.554262474915475	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1488	Best fitness:	132.69931972789115	Average fitness:	277.7250340136053	Fitness standard deviation:	54.623530027388945	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1504	Best fitness:	132.69931972789115	Average fitness:	281.0507482993197	Fitness standard deviation:	71.54264154463178	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1520	Best fitness:	132.69931972789115	Average fitness:	256.59074829931967	Fitness standard deviation:	51.98270010497802	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
Generation:	1536	Best fitness:	132.69931972789115	Average fitness:	270.3321768707482	Fitness standard deviation:	62.40249162673305	Best genome:	A15	A17	N5	E4	A11	N12	E3	A6	A14	A12	N7	A10	N6	A8	N9	A16	E5	A9	N3	A7	A13	
