Generation:	1120	Best fitness:	145.67074829931974	Average fitness:	266.5036054421769	Fitness standard deviation:	52.67607075904812	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1136	Best fitness:	145.67074829931974	Average fitness:	280.4421768707483	Fitness standard deviation:	47.68134791273743	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1152	Best fitness:	145.67074829931974	Average fitness:	281.25074829931975	Fitness standard deviation:	43.86069794804679	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1168	Best fitness:	145.67074829931974	Average fitness:	272.596462585034	Fitness standard deviation:	51.72730649023486	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1184	Best fitness:	145.67074829931974	Average fitness:	275.7450340136054	Fitness standard deviation:	38.08680139912416	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1200	Best fitness:	145.67074829931974	Average fitness:	269.17217687074833	Fitness standard deviation:	48.59537936798485	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1216	Best fitness:	145.67074829931974	Average fitness:	279.2121768707483	Fitness standard deviation:	50.17578200686063	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1232	Best fitness:	145.67074829931974	Average fitness:	276.766462585034	Fitness standard deviation:	54.86648601610187	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1248	Best fitness:	145.67074829931974	Average fitness:	282.336462585034	Fitness standard deviation:	49.20910659043274	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1264	Best fitness:	145.67074829931974	Average fitness:	295.51217687074825	Fitness standard deviation:	53.240271296783426	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1280	Best fitness:	145.67074829931974	Average fitness:	288.4064625850341	Fitness standard deviation:	47.18365237050231	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1296	Best fitness:	145.67074829931974	Average fitness:	278.3878911564626	Fitness standard deviation:	55.33129822501282	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1312	Best fitness:	145.67074829931974	Average fitness:	299.486462585034	Fitness standard deviation:	51.858386033898284	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1328	Best fitness:	145.67074829931974	Average fitness:	287.21074829931973	Fitness standard deviation:	48.64182537189784	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1344	Best fitness:	145.67074829931974	Average fitness:	290.8707482993197	Fitness standard deviation:	55.842240613488045	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1360	Best fitness:	145.67074829931974	Average fitness:	274.7493197278912	Fitness standard deviation:	53.106602744875715	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1376	Best fitness:	145.67074829931974	Average fitness:	278.98360544217684	Fitness standard deviation:	63.6998590169202	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1392	Best fitness:	145.67074829931974	Average fitness:	287.12646258503406	Fitness standard deviation:	51.67125792854638	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1408	Best fitness:	145.67074829931974	Average fitness:	299.22360544217685	Fitness standard deviation:	55.600075080701025	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1424	Best fitness:	145.67074829931974	Average fitness:	279.29503401360546	Fitness standard deviation:	54.91711251457759	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1440	Best fitness:	145.67074829931974	Average fitness:	283.7907482993197	Fitness standard deviation:	46.508917380631075	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1456	Best fitness:	145.67074829931974	Average fitness:	283.7850340136054	Fitness standard deviation:	49.81942904333691	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1472	Best fitness:	145.67074829931974	Average fitness:	276.70646258503405	Fitness standard deviation:	54.06215536636643	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1488	Best fitness:	145.67074829931974	Average fitness:	275.1578911564626	Fitness standard deviation:	52.83091586778116	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1504	Best fitness:	145.67074829931974	Average fitness:	276.296462585034	Fitness standard deviation:	60.372462231702684	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1520	Best fitness:	145.67074829931974	Average fitness:	282.62931972789113	Fitness standard deviation:	60.06823091540255	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1536	Best fitness:	145.67074829931974	Average fitness:	275.55789115646263	Fitness standard deviation:	38.31737121378101	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1552	Best fitness:	145.67074829931974	Average fitness:	288.42931972789114	Fitness standard deviation:	55.22769157158871	Best genome:	A9	E4	E3	N6	N7	A6	A12	A11	N12	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1568	Best fitness:	142.67074829931974	Average fitness:	290.73931972789114	Fitness standard deviation:	67.48643485765061	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
Generation:	1584	Best fitness:	142.67074829931974	Average fitness:	291.1336054421769	Fitness standard deviation:	50.2610195857179	Best genome:	A9	E4	N6	N7	A6	A12	A11	N12	E3	N5	N3	A7	A17	N9	A13	E5	A15	A14	A10	A8	A16	
